OID_,PCL,MEAN,YEAR
1,PLC048,8.112816829089967,2024
2,PLC264,9.751567045847574,2024
3,PLC265,9.031515965951934,2024
4,PLC270,9.560378898273811,2024
5,PLC193,10.526656271536140,2024
6,PLC192,7.912505903909373,2024
7,PLC191,8.944235489148047,2024
8,PLC181,6.812017530202866,2024
9,PLC179,6.114258978101943,2024
10,PLC180,6.113034343719482,2024
11,PLC174,7.027064263820648,2024
12,PLC175,6.044197797775269,2024
13,PLC173,6.958363312941331,2024
14,PLC170,7.508841514587402,2024
15,PLC172,6.919003274705675,2024
16,PLC169,7.618174552917480,2024
17,BIS002,33.244937896728516,2024
18,BIS001,29.882859547932942,2024
19,PLC004,10.439566268920897,2024
20,PLC002,7.179039955139160,2024
21,PLC005,15.135145759582519,2024
22,PLC007,12.882409381866456,2024
23,PLC006,6.893482208251953,2024
24,PLC019,10.078984283265616,2024
25,PLC025,13.930623412132265,2024
26,PLC015,14.036928623280625,2024
27,PLC017,13.574076867103576,2024
28,PLC022,9.096559744614821,2024
29,PLC266,11.286350518130181,2024
30,PLC024,12.473631631760369,2024
31,PLC051,17.190553665161133,2024
32,PLC050,14.006608963012695,2024
33,PLC053,14.454483701827678,2024
34,PLC027,14.630124790653303,2024
35,PLC026,13.474459600448606,2024
36,PLC014,14.121672153472900,2024
37,PLC012,12.435527067918045,2024
38,PLC013,13.156882464885712,2024
39,PLC011,11.559818267822266,2024
40,PLC010,11.018131732940674,2024
41,PLC008,7.667975842952728,2024
42,PLC030,8.920112700689408,2024
43,PLC016,14.781966209411621,2024
44,PLC237,7.771405986377171,2024
45,PLC268,6.944696201468413,2024
46,PLC248,8.605705559253693,2024
47,PLC249,8.338903371025534,2024
48,PLC269,9.934054402744067,2024
49,PLC250,11.016760054756606,2024
50,PLC197,11.438947639465329,2024
51,PLC196,11.931424984565147,2024
52,PLC194,11.513684484693741,2024
53,PLC131,9.776614275845613,2024
54,PLC121,7.637949534824917,2024
55,PLC120,7.355732395535422,2024
56,PLC267,8.164066146796854,2024
57,PLC057,8.458409555496706,2024
58,PLC056,8.286151471345320,2024
59,PLC222,10.386393410818917,2024
60,PLC202,5.153060913085938,2024
61,PLC206,6.456632310065670,2024
62,PLC208,7.337302764256796,2024
63,PLC215,9.225469267046130,2024
64,PLC216,10.791932601928714,2024
65,PLC219,11.126282870769503,2024
66,PLC223,8.339920775095624,2024
67,PLC226,8.495453614455005,2024
68,PLC227,9.263008024634383,2024
69,PLC230,9.550139119548183,2024
70,PLC236,8.379626836095538,2024
71,PLC231,9.118853782785347,2024
72,PLC240,6.843707115753838,2024
73,PLC239,5.635490854581198,2024
74,PLC246,9.088578651691304,2024
75,PLC189,12.152696691710373,2024
76,PLC195,11.817487276517429,2024
77,PLC188,11.272562026977537,2024
78,PLC127,8.463587031644934,2024
79,PLC123,7.003447797563340,2024
80,PLC119,7.664336390495298,2024
81,PLC055,9.485920256756717,2024
82,PLC052,14.074458122253422,2024
83,PLC209,8.322896739811576,2024
84,PLC214,8.701159590169006,2024
85,PLC218,11.035363785425822,2024
86,PLC217,10.297730255126952,2024
87,PLC028,11.669590268816266,2024
88,PLC059,8.807342708110811,2024
89,PLC062,8.865528053707550,2024
90,PLC060,8.316696923712025,2024
91,PLC047,13.031338370473762,2024
92,PLC046,11.738527089899236,2024
93,PLC037,10.565445876703029,2024
94,PLC045,5.689092076416555,2024
95,PLC073,3.617228905359904,2024
96,PLC044,7.773232386662411,2024
97,PLC039,10.551599502563477,2024
98,PLC036,9.748392469742717,2024
99,PLC034,10.018433014551798,2024
100,PLC035,10.351007699966431,2024
101,PLC032,9.512527199678642,2024
102,PLC031,9.810155868530273,2024
103,PLC118,9.287337722778320,2024
104,PLC117,9.258482170104982,2024
105,PLC116,8.123045730590821,2024
106,PLC115,10.396632194519043,2024
107,PLC114,10.182201758674951,2024
108,PLC061,5.827529907226562,2024
109,PLC113,8.685901343822481,2024
110,PLC066,9.376619412348820,2024
